<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.08	00:55:00	1.09480	1.09480	1.09478	1.09478	10	0	9
2024.01.08	00:56:00	1.09478	1.09478	1.09476	1.09476	10	0	9
2024.01.08	00:57:00	1.09476	1.09476	1.09474	1.09474	10	0	9
2024.01.08	00:58:00	1.09474	1.09474	1.09472	1.09472	10	0	9
2024.01.08	00:59:00	1.09472	1.09472	1.09470	1.09470	10	0	9
2024.01.08	01:00:00	1.09470	1.09471	1.09470	1.09471	10	0	8
2024.01.08	01:01:00	1.09471	1.09473	1.09471	1.09473	10	0	8
2024.01.08	01:02:00	1.09473	1.09505	1.09473	1.09474	10	0	8
2024.01.08	01:03:00	1.09474	1.09476	1.09474	1.09476	10	0	8
2024.01.08	01:04:00	1.09476	1.09477	1.09476	1.09477	10	0	8
2024.01.08	01:05:00	1.09477	1.09479	1.09477	1.09479	10	0	8
2024.01.08	01:06:00	1.09479	1.09480	1.09479	1.09480	10	0	8
2024.01.08	01:07:00	1.09480	1.09482	1.09455	1.09482	10	0	8
2024.01.08	01:08:00	1.09482	1.09483	1.09482	1.09483	10	0	8
2024.01.08	01:09:00	1.09483	1.09485	1.09483	1.09485	10	0	8
2024.01.08	01:10:00	1.09485	1.09486	1.09485	1.09486	10	0	8
2024.01.08	01:11:00	1.09486	1.09488	1.09486	1.09488	10	0	8
2024.01.08	01:12:00	1.09488	1.09489	1.09488	1.09489	10	0	8
2024.01.08	01:13:00	1.09489	1.09491	1.09489	1.09491	10	0	8
2024.01.08	01:14:00	1.09491	1.09492	1.09491	1.09492	10	0	8
2024.01.08	01:15:00	1.09492	1.09494	1.09492	1.09494	10	0	8
2024.01.08	01:16:00	1.09494	1.09495	1.09494	1.09495	10	0	8
2024.01.08	01:17:00	1.09495	1.09526	1.09495	1.09497	10	0	8
2024.01.08	01:18:00	1.09497	1.09499	1.09497	1.09499	10	0	8
2024.01.08	01:19:00	1.09499	1.09501	1.09499	1.09501	10	0	8
2024.01.08	01:20:00	1.09501	1.09502	1.09501	1.09502	10	0	8
2024.01.08	01:21:00	1.09502	1.09504	1.09502	1.09504	10	0	8
2024.01.08	01:22:00	1.09504	1.09506	1.09480	1.09506	10	0	8
2024.01.08	01:23:00	1.09506	1.09508	1.09506	1.09508	10	0	8
2024.01.08	01:24:00	1.09508	1.09509	1.09508	1.09509	10	0	8
2024.01.08	01:25:00	1.09509	1.09511	1.09509	1.09511	10	0	8
2024.01.08	01:26:00	1.09511	1.09513	1.09511	1.09513	10	0	8
2024.01.08	01:27:00	1.09513	1.09515	1.09513	1.09515	10	0	8
2024.01.08	01:28:00	1.09515	1.09516	1.09515	1.09516	10	0	8
2024.01.08	01:29:00	1.09516	1.09518	1.09516	1.09518	10	0	8
